initial_account,next_account,step,amount,newbalanceorig
C2057200986,C1124319645,39,7937954.20,0.00
C1092667126,C1482119856,39,39013.30,0.00
C1118399210,C104038589,39,152042.16,0.00
C575969831,C220147588,40,26950.06,0.00
C776336653,C737099940,40,20314.97,0.00
C979937832,C1787596520,40,6188772.44,0.00
C1340596396,C487414422,40,2757431.53,0.00
C1551140519,C311151183,40,7887.75,0.00
C1311186566,C1907577066,40,31930.24,0.00
C1424554187,C1294873831,40,212613.29,0.00
C518343264,C596058183,41,581889.94,0.00
C1067826676,C57546675,41,1783144.33,0.00
C474735735,C1737223057,41,82806.20,0.00
C1813633369,C586649123,41,32690.68,0.00
C1268743025,C802302527,41,1270564.34,0.00
C739578791,C1562052816,41,2885466.96,0.00
C1374233613,C443044241,42,334276.08,0.00
C1985844506,C440567141,42,3569720.42,0.00
C646867271,C701554593,42,1566057.28,0.00
C1883768704,C1982874632,42,5032484.73,0.00
C1167233065,C528250681,42,36359.57,0.00
C1345605199,C759668657,42,506867.52,0.00
C373557981,C114416170,42,1917497.63,0.00
C158964639,C1661087818,43,29988.00,0.00
C1709961291,C1364728606,43,350789.59,0.00
C1296215617,C1429415136,43,1395850.55,0.00
C1518273469,C1076725693,43,93459.89,0.00
C1897851214,C1118636317,43,435166.65,0.00
C725236553,C417640852,43,21987.00,0.00
C1484448573,C1911678087,43,362152.77,0.00
C369936121,C1347315975,44,1649818.97,0.00
C374179954,C1213274351,44,387952.42,0.00
C1819568647,C258309243,44,44571.94,0.00
C967325382,C1259079602,44,534255.94,0.00
C286239409,C151804423,45,213983.59,0.00
C1481880227,C948441746,45,217255.97,0.00
C1582972194,C284364603,45,1069508.42,0.00
C1556710652,C1264872013,45,5188875.35,0.00
C1457431353,C203170379,45,4919642.57,0.00
C353840221,C1679122685,45,357836.57,0.00
C280136890,C927108992,45,155761.29,0.00
C1102672587,C735323689,45,7335355.57,0.00
C154757729,C1895716929,46,9977761.05,0.00
C397528199,C1325281003,46,35016.23,0.00
C33339986,C2120774041,46,71372.00,0.00
C1324043104,C797897879,46,945131.85,0.00
C1061149717,C737745926,46,736370.54,0.00
C1603043156,C898953864,46,82971.91,0.00
C1948614614,C218558993,46,585010.21,0.00
C362274629,C2097224214,47,225850.53,0.00
C1664257559,C1658994093,47,243028.65,0.00
C853837808,C1750636426,47,2249574.01,0.00
C1669581327,C1697995801,47,13172.17,0.00
C825902720,C512979582,47,61487.67,0.00
C1496997212,C1588957214,47,156011.24,0.00
C905922907,C2062739315,47,36532.84,0.00
C1767277816,C1835346647,47,827921.27,0.00
C1221718544,C29028630,47,667043.90,0.00
C1932446672,C966173999,47,202978.65,0.00
C1186930189,C2069118895,47,1388951.50,0.00
C22070941,C1908319524,48,1215297.01,0.00
C2029593206,C1780194403,48,337974.21,0.00
C1261933788,C1058127621,48,147267.01,0.00
C796147836,C723898004,48,561374.78,0.00
C806769154,C519182481,48,5489302.04,0.00
C1545338291,C372035143,49,1021129.67,0.00
C1785967281,C68578357,49,114017.19,0.00
C994276793,C670042954,50,112668.54,0.00
C850743663,C1137540009,50,967153.50,0.00
C30736240,C725738949,50,592737.43,0.00
C155466948,C1368205157,51,202887.77,0.00
C427722942,C2116826462,51,339275.64,0.00
C836452372,C1661320351,51,115881.21,0.00
C1560394123,C1393670189,51,1398946.33,0.00
C1948396559,C538567441,51,1170282.92,0.00
C710887172,C2057229481,51,567932.31,0.00
C877036651,C748208035,51,361460.79,0.00
C1486116303,C398541118,52,7484125.12,0.00
C84753955,C203085340,52,1093155.19,0.00
C1842985263,C840755462,52,128426.58,0.00
C806145630,C1088026094,52,969259.07,0.00
C443233087,C1597258791,53,1631640.02,0.00
C831891422,C1984865103,53,99139.27,0.00
C1484456052,C1913346868,53,6215.44,0.00
C1285761418,C2028641482,53,3640271.29,0.00
C101455775,C1834538811,53,931684.75,0.00
C919766733,C623650025,54,1350574.58,0.00
C163085808,C652285552,54,438224.60,0.00
C1611123412,C1796277088,55,760625.76,0.00
C1323797959,C986375360,55,309254.05,0.00
C1745208932,C2118682140,55,283400.42,0.00
C215685392,C1679780828,55,109028.80,0.00
C723006620,C240791931,55,854550.85,0.00
C5594712,C69798076,55,167715.53,0.00
C1448304922,C1082976131,56,1932200.59,0.00
C633571752,C22428002,56,829885.13,0.00
C353411083,C803277933,56,42789.93,0.00
C1391703729,C1707583711,56,136562.78,0.00
C447204018,C1405076025,56,82767.31,0.00
C432219684,C926776113,56,2776135.33,0.00
C244956323,C1079262309,56,4243468.19,0.00
C176579882,C1049193275,56,530733.43,0.00
C464286204,C1532660344,56,325242.69,0.00
C207792334,C912468991,57,157610.11,0.00
C829975560,C157107660,57,354441.19,0.00
C550185181,C1007032757,57,1014816.16,0.00
C1588962215,C1667993735,58,246938.77,0.00
C856217790,C1278181974,58,561948.38,0.00
C666474898,C2119441360,58,106673.26,0.00
C2083819202,C1581398768,58,6501303.14,0.00
C1609180237,C1443408255,58,3156421.43,0.00
C1979185568,C1873285106,58,1789155.73,0.00
C1016889565,C1924324818,58,456745.18,0.00
C1494760088,C1835087777,58,7108914.22,0.00
C1677074645,C408634115,58,109525.67,0.00
C801354252,C388808912,58,378688.65,0.00
C1625333778,C940087282,59,394388.09,0.00
C1648039979,C1502171587,59,3904257.51,0.00
C1675721447,C892636220,59,3857176.83,0.00
C1690317775,C1829927547,59,21174.45,0.00
C267452646,C243306413,59,192765.49,0.00
C813936493,C1382261132,59,1011606.26,0.00
C721700955,C1996747267,59,2050727.81,0.00
C385589098,C1606057909,59,9748.89,0.00
C521758644,C1703221504,59,44733.50,0.00
C453950944,C1875884022,59,1367340.03,0.00
C1813387968,C106857650,60,1026208.84,0.00
C46706219,C1894539182,60,40486.25,0.00
C1517105060,C621322132,60,89014.32,0.00
C958487787,C218393296,60,45807.51,0.00
C153820103,C1530694083,60,742973.53,0.00
C1021314422,C2062695733,60,581421.85,0.00
C397354505,C320276503,61,475368.94,0.00
C182416415,C180492809,61,1735466.52,0.00
C2113787126,C2003052554,61,37720.99,0.00
C1544506396,C2060264943,61,1372301.24,0.00
C729983243,C246124153,61,332138.32,0.00
C960647528,C1203056408,61,55062.46,0.00
C74298259,C1317404545,61,1155128.91,0.00
C330207825,C1825454306,62,401529.35,0.00
C1429215839,C1401928307,62,722380.88,0.00
C1803571079,C1642306592,62,724414.43,0.00
C1585122257,C645113065,62,407833.62,0.00
C1621152719,C2001263601,63,148188.84,0.00
C279016627,C234112724,63,1693962.01,0.00
C156009552,C2090793760,63,14017.38,0.00
C1538536157,C1896614473,63,197226.65,0.00
C1061680194,C2009518683,64,31574.65,0.00
C1530845932,C2125159934,64,37796.75,0.00
C759912226,C287309829,64,17051.69,0.00
C273631269,C1035103148,64,960306.85,0.00
C941791959,C1945517835,64,3097121.75,0.00
C927898109,C542075780,64,436317.49,0.00
C1844789908,C2049190094,64,104957.85,0.00
C1837436553,C611839321,64,841052.98,0.00
C1198248537,C29406343,64,1814483.97,0.00
C1422133318,C548676992,65,701168.78,0.00
C1116093088,C506992553,65,446032.95,0.00
C1699346936,C27494611,65,385556.82,0.00
C661110749,C90361142,65,3760068.04,0.00
C1175896731,C1714931087,65,1282971.57,0.00
C920552627,C1105243161,65,881811.11,0.00
C2041556759,C1497527382,65,174923.28,0.00
C2112892697,C1785871119,65,403975.39,0.00
C498025851,C892311426,65,126690.14,0.00
C270115029,C1574358644,65,215.83,0.00
C172609143,C106756368,66,548269.98,0.00
C1433490225,C1414864266,66,150405.20,0.00
C718215446,C1200993280,66,813133.35,0.00
C1735799250,C106378482,66,2096634.43,0.00
C476640492,C1370530926,66,272791.44,0.00
C1016521533,C475877892,66,7169129.94,0.00
C1876689114,C1824138036,66,107188.41,0.00
C1900819473,C526266879,66,3444943.59,0.00
C147756271,C650234869,66,126715.84,0.00
C658423698,C329899379,66,4631432.03,0.00
C1795295,C658604431,66,2322909.69,0.00
C1915179121,C36534041,66,79441.66,0.00
C582388359,C641615589,67,1028326.50,0.00
C2009003297,C1459842129,67,42513.08,0.00
C432380223,C1583623584,67,106460.70,0.00
C1936471789,C844650878,68,915266.65,0.00
C1770441952,C1228502814,68,5800988.12,0.00
C1530003925,C1195646619,68,1858515.57,0.00
C1585059557,C1250942546,68,3512572.72,0.00
C486342629,C249139572,68,374178.28,0.00
C607970446,C1306842666,68,2026529.56,0.00
C1860550733,C731457880,68,13890.42,0.00
C2139323336,C1787061281,68,281743.12,0.00
C1123186349,C1729475937,68,157494.60,0.00
C1567288795,C1978402788,69,19776.71,0.00
C659199413,C1444079719,69,271731.05,0.00
C139632487,C1966690861,69,7728992.56,0.00
C1805399811,C1422711438,69,175328.85,0.00
C275034566,C782534893,69,353313.55,0.00
C1164571434,C895361185,69,582571.87,0.00
C833989982,C1897067419,69,2960254.17,0.00
C505397169,C599233021,69,5521483.54,0.00
C1991870331,C501280303,69,2147778.33,0.00
C2109457516,C908864570,69,967954.01,0.00
C2105673103,C98079296,70,266766.78,0.00
C282915164,C672400159,70,1036789.41,0.00
C1823914087,C1052777709,70,167067.78,0.00
C1765119291,C371379583,71,322113.91,0.00
C1715084286,C415375205,71,91691.75,0.00
C677678546,C646623849,71,1871553.73,0.00
C866984681,C1857536723,71,2949339.09,0.00
C949573914,C346346824,71,479892.04,0.00
C378617827,C1265131322,71,304085.48,0.00
C706829068,C1684593692,71,14385.54,0.00
C1985338048,C1366367431,71,62091.44,0.00
C436643721,C295403005,71,386996.34,0.00
C264616990,C1955514169,71,345526.40,0.00
C1641673590,C227659861,72,2947783.87,0.00
C1671411740,C2033875224,72,730574.39,0.00
C1659791860,C199886377,72,3786438.03,0.00
C2071698582,C1036746993,72,622235.32,0.00
C891068137,C177386089,72,3243092.91,0.00
C53057884,C588547519,72,10000000.00,8594065.09
C1801750044,C1420708952,72,8594065.09,0.00
C427763831,C1394804033,73,12619.29,0.00
C1668034974,C1048930255,73,193663.90,0.00
C1223486306,C964592362,73,684796.16,0.00
C1591659035,C1490141777,73,400157.86,0.00
C775816840,C1539861914,74,4375931.29,0.00
C1294027751,C1027008059,74,74177.92,0.00
C1444290021,C959470338,74,59127.34,0.00
C554032564,C1773822709,74,2451423.58,0.00
C1934910898,C547328121,74,59813.61,0.00
C1694745551,C43669214,74,158489.29,0.00
C1809932675,C1098977292,74,85637.08,0.00
C1492220840,C839360691,74,1311150.90,0.00
C1151172465,C2088124795,74,4582074.51,0.00
C178620637,C479353061,74,455074.13,0.00
C103236252,C1710384366,74,3284197.88,0.00
C756454870,C1095120189,75,810039.19,0.00
C1318698561,C2115087067,75,959018.79,0.00
C1153451347,C450761826,75,755813.12,0.00
C1935083121,C83154619,75,460436.43,0.00
C1267158518,C1985253789,76,9917.27,0.00
C1668561632,C575000794,76,2066446.27,0.00
C1528612318,C669563371,77,819048.34,0.00
C1074348771,C306278286,77,9039246.82,0.00
C729877384,C1610940627,77,239473.85,0.00
C958168241,C1700925232,77,5715004.30,0.00
C1907685273,C2107203461,77,2149976.69,0.00
C3630973,C1609262789,78,1321091.25,0.00
C973342461,C631818291,78,113829.89,0.00
C282621115,C2027238520,78,178569.48,0.00
C32677445,C154560289,78,1735647.47,0.00
C65227807,C213999906,78,2254934.36,0.00
C1325126961,C1068974192,79,353045.35,0.00
C144675030,C660991644,79,1619331.51,0.00
C1635325265,C1782100943,79,61178.51,0.00
C2021935445,C332249974,79,664992.86,0.00
C2026655073,C524492169,79,432254.84,0.00
C1702857614,C952860391,80,42659.39,0.00
C517594835,C1448192965,80,173782.59,0.00
C1710515368,C1582805529,80,62134.33,0.00
C279538198,C1842012952,80,972920.87,0.00
C2138181348,C1608735206,80,244814.12,0.00
C538871976,C1208558259,81,82527.13,0.00
C1141684760,C1203351352,81,78028.89,0.00
C1263150351,C61517319,81,2737766.80,0.00
C1249942022,C1969956684,81,1980800.05,0.00
C238307313,C1029951793,81,221936.60,0.00
C194251863,C280536388,82,5338583.38,0.00
C1000937208,C1880907151,82,1534985.07,0.00
C495624893,C939460136,82,45077.10,0.00
C1237313447,C1468356154,82,10000000.00,987591.59
C134383279,C1363477592,82,987591.59,0.00
C358852719,C361327171,83,1534926.96,0.00
C2038871800,C699011744,83,594577.22,0.00
C287098370,C905119100,83,24412.07,0.00
C1444107396,C1562027253,83,286769.07,0.00
C426265650,C2019200762,83,365099.76,0.00
C1058391661,C167823915,83,2498370.12,0.00
C392060027,C45705350,84,8380.79,0.00
C98299573,C323116662,84,2627070.50,0.00
C1110566935,C1210547818,84,39379.45,0.00
C1660861590,C852926396,84,296349.80,0.00
C397720555,C1006668962,84,152331.26,0.00
C792651637,C397396936,84,10000000.00,4830219.15
C58626602,C1366192319,84,4830219.15,0.00
C2080405171,C1544738688,84,351912.04,0.00
C47624520,C572686074,85,64344.59,0.00
C810305173,C600417404,85,4094.07,0.00
C108588868,C944240643,85,167679.27,0.00
C722109752,C43114733,85,678058.75,0.00
C1096275107,C541691384,85,1529614.71,0.00
C1202805418,C1429653947,85,1440705.58,0.00
C406938681,C579440834,85,8924971.59,0.00
C1107960128,C76175380,86,305817.12,0.00
C1843531771,C632110164,86,10000000.00,8931607.89
C1230337572,C720836200,86,8931607.89,0.00
C1342024703,C1828683068,86,21829.31,0.00
C384245570,C898480186,86,6972164.97,0.00
C1763423014,C2088891396,86,17822.02,0.00
C1043173812,C1425524479,86,88649.10,0.00
C466502993,C1376830476,86,372344.58,0.00
C759761137,C1046167270,86,72547.29,0.00
C702109004,C1385287774,87,114339.10,0.00
C1872678613,C1669827303,87,1083860.21,0.00
C1864352304,C238575749,87,115461.48,0.00
C1453976647,C1454683123,88,9345700.07,0.00
C425422557,C1375508405,88,337994.64,0.00
C743505070,C1234529860,88,4022408.76,0.00
C2016707009,C1883647961,88,3607917.73,0.00
C112075481,C1906745138,89,766631.82,0.00
C1832804428,C1373339236,89,43928.31,0.00
C163362068,C2101762472,89,268230.43,0.00
C787624212,C707993034,90,1182557.97,0.00
C20934995,C601864422,90,113309.55,0.00
C199695016,C1584778754,90,703833.48,0.00
C1087234685,C271149484,90,134515.36,0.00
C1640647431,C1995045376,90,266746.42,0.00
C1641731466,C290559240,90,7696836.35,0.00
C1509358186,C2068734277,90,39664.74,0.00
C2018224474,C1562137241,90,249791.30,0.00
C1152872254,C1484049545,91,921668.95,0.00
C2082041963,C484298628,91,737285.03,0.00
C531625667,C1312031909,91,28308.97,0.00
C822183230,C1393101702,91,482679.60,0.00
C593029629,C1743578484,92,1461930.03,0.00
C1340312777,C863062485,92,271908.40,0.00
C1615802716,C1977391812,92,101903.69,0.00
C2002083627,C1024161943,92,21574.55,0.00
C199871794,C1396988344,92,19742.71,0.00
C1961802855,C315895571,93,38150.22,0.00
C391100177,C1603792241,93,886588.02,0.00
C2002472710,C2023856876,93,4120.14,0.00
C1022498421,C1697378157,93,3206623.39,0.00
C676090557,C1516512243,93,315654.19,0.00
C1863782967,C1170590191,93,175313.96,0.00
C1553979696,C537828065,93,3723738.06,0.00
C1904367873,C156002993,93,269545.63,0.00
C358188091,C329029721,94,2169679.91,0.00
C708686257,C191950817,94,1454592.61,0.00
C1586676521,C94475674,94,460635.82,0.00
C211205523,C1430994246,94,2393539.65,0.00
C1313587911,C1637506717,94,445257.43,0.00
C998593582,C855256022,94,363378.75,0.00
C428343058,C1518840126,95,655676.97,0.00
C872526349,C1824885183,95,56745.14,0.00
C732111322,C1140210295,95,33676.59,0.00
C927181710,C757947873,95,87999.25,0.00
C146522698,C1122850221,95,53062.52,0.00
C1917836086,C1694421805,95,8775594.43,0.00
C1323299934,C105333987,95,3492056.91,0.00
C2037845109,C666339947,96,10000000.00,8267760.50
C997276166,C1246358574,96,8267760.50,0.00
C1301979362,C1733162010,97,707870.44,0.00
C1921410624,C994730180,97,5624.02,0.00
C918476031,C2006029122,97,253498.36,0.00
C569899403,C418690964,97,31329.62,0.00
C310812803,C1185406486,97,4454632.30,0.00
C1421921119,C133340407,98,8055.06,0.00
C1872359745,C1089130504,98,63624.08,0.00
C1274651891,C2045107453,98,1155819.58,0.00
C1353657671,C956901713,98,427405.08,0.00
C1201856349,C1778006925,98,2394623.80,0.00
C2014013314,C315419844,98,1273674.05,0.00
C1836246597,C960827392,98,1122508.34,0.00
C1514427330,C2103550727,99,4589441.44,0.00
C2005707747,C1830145397,99,286670.90,0.00
C1575226124,C1023961494,99,1515291.19,0.00
C379527742,C312459798,99,130653.37,0.00
C126342805,C169029118,100,54994.10,0.00
C420011443,C1935426348,100,28871.90,0.00
C626697086,C95194783,100,1422963.14,0.00
C808767907,C1722945980,101,2388251.16,0.00
C1529282032,C72798591,101,2222544.00,0.00
C1375615484,C1983479612,101,253793.28,0.00
C697159622,C2008752241,101,127905.82,0.00
C1150010764,C21652868,101,891944.51,0.00
C1791664104,C84868382,101,146681.74,0.00
C1009233877,C1072793235,102,46081.45,0.00
C936539159,C1057721506,102,1076739.91,0.00
C1838392320,C1134214570,102,548335.12,0.00
C203547819,C1137673642,102,656118.37,0.00
C1327508355,C1573144849,102,872199.82,0.00
C1423921623,C1580835462,102,22025.14,0.00
C845451769,C453650328,103,710385.55,0.00
C2062277295,C1254777952,103,137508.01,0.00
C1675701683,C348036671,103,639468.22,0.00
C159727303,C1989484801,103,1254092.10,0.00
C1779028734,C229248099,104,1762680.47,0.00
C208481356,C2072772190,104,142336.65,0.00
C1531491177,C495237092,104,306833.41,0.00
C111341928,C192831287,104,86170.94,0.00
C2012277914,C2023785660,104,803794.53,0.00
C1087798823,C1125025410,104,125159.20,0.00
C935429105,C1630335689,104,655294.30,0.00
C1648040674,C1031027989,105,1457085.28,0.00
C775037479,C931676634,105,539087.79,0.00
C682978594,C121024766,105,1767112.66,0.00
C906016775,C2138340769,105,40413.81,0.00
C257797783,C1647613503,105,2988103.30,0.00
C1365223423,C1732693893,105,35496.47,0.00
C796435829,C453493362,105,188854.39,0.00
C113536213,C1976983084,105,216351.05,0.00
C1032127043,C946777990,105,511379.90,0.00
C1892918810,C2036490087,106,1409248.64,0.00
C1349419422,C199707137,106,1486955.35,0.00
C1309821311,C758876302,106,71277.45,0.00
